,id,text
10,1559,"Мақалада Қарағанды мемлекеттік техникалық университетінің ғалымдар тобы қурастырған соққылық импульс диірменін пайдаланатын технология- лық желі жайында мәліметгер келтірілген. Аталған диірмен сусымалы материалдарды майда жене өте майда ұсақтауға және материалды ұнтақтаудың энергиякернеулі режимі іске асырылатын клинкерсіз, белсенді түтқыр (цемент) жоғары маркалы материалдар алуға арналған. Диірменді эксперимента сынақтау нәтижелері бойынша текшелер, ұнтақтау талдамаларының нәтижелері Қазақстан Рес- публикасының қурылыс индустриясы кәсіпорындарына енгізілуге үсыныл- ған буйымдар мен конструкциялар, тиімді қурылыс материалдары өндірісі саласындағы ғылыми-зерттеулер әзірлемелерінде келтірілген.
	Қузырлы мамандардың пікірінше, майда және өте майда үсақтауға арналған диірмен өнеркәсіптік үлгіге жеткен соң, клинкерсіз белсенді түтқыр (цемент) жоғары маркалы материалдар өндірісінде, жатып қалған цемент- терді белсендіруде, химиялық өндірісте, тамақ өнеркәсібінде, қурылыс материалдары өндірісінде, Су қажет етілуі төмен Түтқыр материалдар өндірісінде және басқа да салаларда кең қолданыс табады.
	: технологиялық желі, клинкерсіз белсенді түтқыр материалдар, механикалық белсендіру, механикалық химия, соққылы импульсті диірмен."
11,1561,Экологические аспекты разработки месторождений урана способом подземного скважинного выщелачивания
12,1564,Priority research issues and thematic areas of mechanical engineering development in Kazakhstan
13,1565,18 декабря 2012  Лариса Николаевна Гребцова
14,1569,"Модификация классического биномиального закона распределения значений, учитывающая существенную зависимость биометрических кодов"
15,1572,Устойчивость демпфирующего гироскопа
16,1573,18 декабря 2012  Лариса Николаевна Гребцова
17,1574,Атырауский государственный университет им. X. Досмухамедова
18,1577,Влияние «ТЕНЕВОГО ЭФФЕКТА» на точность ГНСС измерения на открытых разработках
19,1580,Исследование микроэлементного состава нефти месторождений западного региона Казахстана
20,1581,31 июля 2013  admin
21,1582,УДК 552.578.08
22,1584,", к.х.н.,"
23,1585,"В статье представлены результаты определения содержания микроэлементов в составе нефти Карачагонакского нефтегазоконденсатного месторождения, Чинаревского нефтегазоконденсатного месторождения, месторождения «Кырык мылтык» с использованием современных методов анализа.
	 нефть, микроэлементный состав, атомно-абсорбционная спектрометрия, рентгенофлуоресцентный анализ, состав нефти, Карачагонак, нефтедобыча, горючие полезные ископаемые."
24,1586,Горное дело
25,1591,Ландшафтно-экологическое состояние приграничной территории Казахстанско-Туркменского сектора
26,1592,13 декабря 2011  Лариса Николаевна Гребцова
27,1611,13 декабря 2011  Лариса Николаевна Гребцова
28,1613,"Өз ұйымындағы шешілетін міндеттерді ескере отырып, электрондық құжа- тайналым жүйесінің (ЭҚЖ) замануи және перспективалы тұғырнамасына көшкісі келетіндерге, электрондық құжатайналым жүйесін таңдау бойын- ша ұсыныстар берілген. Қазіргі заманғы ЭҚЖ типтерінің жіктелуі қарасты- рылған, және олардың функционалдығы тұрғысынан Қазақстандағы ең жиі кездесетін ЭҚЖ тапдау жасалған.
	: электрондық құжатайналым жүйесі, тұғырнама, ақпарат, электрондық құжаттар, басқару жүйелері."
29,1614,"The article demonstrates recommendations for choosing electronic document management system (EDMS) for those who want to switch over to a modern and forward-looking EDMS platform with consideration for challenges of the organization. The article considers the classification of modern EDMS types and analysis of the most common EDMS used in Kazakhstan in terms of their functionality.
	 electronic document management system, platform, information, electronic documents, management system."
30,1628,Автоматизация управленческого труда
31,1631,Ветропривод штангового насоса для добычи нефти
32,1632,7 августа 2013  Лариса Николаевна Гребцова
33,1636,Оптимизация параметров резцовых коронок исполнительного органа  горного автоматического выемочного манипулятора
34,1639,Оптимизация параметров резцовых коронок исполнительного органа  горного автоматического выемочного манипулятора
35,1640,7 августа 2013  Лариса Николаевна Гребцова
36,1645,Горное дело
37,1650,13 декабря 2011  Лариса Николаевна Гребцова
38,1652,"Мақалада индекстер негізінде процесстерді модельдеумен байланысты жүмыстар нәтижесі келтірілген. Блоктар мен оларды сынақтау мысалда- ры көрсетілген. Биттік карталар негізіндегі индекстердің тиімділігі сонша- лық, оларды В*-тармақ негізінде индексті қолдану кезінде орынды деп есеп- телмейтін әдіспен кестелердің үлкен бөліктеріне кіру үшін де қолдануға болатыны көрсетілген.
	 Биттік карталар,индекстер."
39,1653,"The article presents results of works which are connected with modeling of processes on the basis of indexes. Examples of blocks and their approbation are shown. It is shown that the index on the basis of bit maps is so effective that it can be used for access to the most parts of the table in the way which is not considered expedient at use of an index on the basis of a B+-tree.
	: bit maps, indexes."
40,1667,Автоматика. Вычислительная техника
41,1670,Инновационные технологии подготовки высоковлажных шламов к утилизации (каз.яз)
42,1671,18 декабря 2012  Лариса Николаевна Гребцова
43,1690,Методика взаимодействия рабочего органа дорожного катка с уплотняемым материалом
44,1691,3 октября 2015  Лариса Николаевна Гребцова
45,1693,"Актуальной остается проблема функциональной аппроксимации сдвигающих (касательных) контактных напряжений в дорожном материале, которые, наряду с нормальной составляющей, оказывает существенное влияние на коэффициент сопротивления и напряженно-деформированное состояние дорожного покрытия в условиях качения вальца. Отсутствие общей методологии по теории уплотнения стимулирует разработчиков строительно-дорожных машин к созданию различных приближенных методов их расчета, количество которых, в настоящее время, сопоставимо с номенклатурой предлагаемых конструкций. В данной статье приведена универсальная методика статического контакта дорожного катка с уплотняемым слоем, которая обобщает частную теорию расчета на подвижные (ведущие и ведомые) эллиптические и круговые вальцы с учетом известных достижений и рекомендаций, касающихся этого перспективного научно-исследовательского направления.
	дорожный каток, гибкий валец, обечайка, качение, уплотнение, автомобильные дороги."
46,1695,Лимонная кислота. Обзор.
47,1698,Уранды ұңғыманы игеру барысында ұяшықтардың рационалды радиусын негіздеу/ Обоснование рационального радиуса ячейки при скважинной разработке урановых месторождений (на казахском языке)
48,1699,15 декабря 2013  Лариса Николаевна Гребцова
49,1700,ӘОЖ
50,1704,Горное дело
51,1709,Методика разрушения ледяного покрытия на автомобильных дорогах рабочим органом ударного действия
52,1710,3 октября 2015  Лариса Николаевна Гребцова
53,1714,Методика взаимодействия рабочего органа дорожного катка с уплотняемым материалом
54,1715,______________________
55,1717,Результаты исследований по совершенствованию рецептур ингибирующих буровых растворов
56,1718,3 октября 2015  Лариса Николаевна Гребцова
57,1722,"Во многих регионах, расположенных по всей территории Казахстана, встречаются мощные пласты легко диспергируемых глин.  При бурении, в прискважинной зоне под действием водного фильтрата буровых растворов такие глины набухают вызывая сужение стенок скважин с последующим кавернообразованием. Эти осложнения приводят к значительным потерям времени и средств на буровых работах. Эффективным методом борьбы с набуханием глин является применение ингибирующих буровых растворов. В их состав, кроме прочих компонентов, входят ингибиторы, снижающие диспергируемость глин прискважинной зоны, и стабилизаторы, предотвращающие коагуляцию самого бурового раствора под действием переносимого им ингибитора. Цель работы – найти оптимальный состав ингибирующего раствора   по критериям как эффективности предотвращения набухания глинистых пород, так и минимума себестоимости самого раствора Статья содержит результаты лабораторных и производственных исследований по количественному  и качественному воздействию реагентов на рабочие параметры ингибирующего раствора. Задача борьбы с набуханием глин была успешно решена, что подтверждено кавернограммами пробуренных скважин и актами производственных испытаний. Методы значительного снижения себестоимости ингибирующего бурового раствора за счет использования комбинации менее дорогих реагентов также нашли свое обоснование в данной статье. Таким образом, сделан существенный шаг вперед в решении проблемы бурения по легко диспергируемым глинистым породам Казахстана.
	бурение, скважина, пучащиеся глины, аварийность, буровые растворы, ингибирующие растворы, рецептуры растворов, реагенты-стабилизаторы, себестоимость,"
58,1723,Горное дело
59,1728,13 декабря 2011  Лариса Николаевна Гребцова
60,1730,"Жерді қашықтықтан бақылап көру дерекгері бойынша әртүрлі географиялық қүбылыстардыц өзгеру процестерін сандық бағапау тәсілі ұсыныпған.
	: Болжау, Жерді қашықгыктан байқап көру, жіктеу, айырықша- лықты бағалау."
61,1731,"The article proposes an approach to the numerical evaluation of changes in the processes of various geographical phenomena by using Earth's remote sensing.
	: Forecast, Earth's remote sensing data, classification, evaluation of differences."
62,1745,Космические исследования
63,1748,Русловые процессы на реке Урал
64,1749,1 августа 2013  admin
65,1750,Батыс Қазақстан облысы шенберінде Жайық өзенінің арнасымен жайылмасына геоморфологиялық сипаттама берілген. Жайық өзеніндегі арналық құбылыстардың динамикасы зерттелген. Жайық өзенінің жоспарлы арналық қайта құрылымдалуы айқындалған.
66,1768,ПОЛУЧЕНИЕ УГЛЕРОДИСТОГО ФЕРРОХРОМА МЕТОДОМ ЖИДКОФАЗНОГО РАЗДЕЛЕНИЯ ПРЕДВАРИТЕЛЬНО ВОССТАНОВЛЕННЫХ ХРОМОВЫХ РУД
67,1769,28 декабря 2015  Лариса Николаевна Гребцова
68,1771,"На кафедре металлургии и литейного производства разработаны способы жидкофазного разделения продуктов селективно восстановленных металлов из различных материалов – шламов от медеплавильного производства, титаномагнетитовых концентратов, а также богатых хромовых руд кемпирсайского месторождения. Получены продукты после восстановительного обжига исходных хромовых руд, с последующим проплавлением в печи показали образования двух фаз четко выраженными границами ­– металл и шлак. В шлаковой фазе после разделения остаточное содержание CrO составило ~ 2,5 %. Металлическая фаза представлена в основном углеродистым феррохромом переменного состава по железе и хрома в структуре (CrFe)C совместно силицидами железа FeSi и хрома CrSi. Эксперименты подтвердили возможность переработки богатых хромовых руд мелких фракций, путем твердофазного восстановления с последующей выплавкой в электродуговых печах, при котором снижаются расходы не только ­на высококачественные металлургические восстановители и электроэнергию, но главном образом  значительно понижается  уровень загрязнения окружающей среды. 
	: предварительное восстановление; хромовая руда, шлам, переработка руды, металлургия."
69,1773,МЕТОДОЛОГИЧЕСКИЕ ОСНОВЫ ОБЕСПЕЧЕНИЯ СТАБИЛЬНОСТИ ЭКОНОМИЧЕСКОЙ СИСТЕМЫ
70,1774,"Akhmetov K.T., Roshin V.E."
71,1776,Практическое применение стандарта организации по определению остатков объемов горной массы на предприятиях ТОО «Корпорация «Казахмыс»
72,1777,3 октября 2015  Лариса Николаевна Гребцова
73,1782,Горное дело
74,1786,Аннотация.
75,1787,Особенности нагрева воды в поле СВЧ
76,1788,1 апреля 2016  Лариса Николаевна Гребцова
77,1789,"В статье проанализированы основные проблемы, возникающие от использования микроволновых печей, отмечены необоснованные рекомендации по длительности обработки продуктов. Не правильное применение микроволнового разогрева и нарушения правил техники безопасности приводит к негативным изменениям в организме благодаря  аминокислот Приведены сведения об экспериментальных данных обработки воды в СВЧ-поле, определены температурные зависимости для воды объемом 100 мл и 200 мл от длительности обработки в СВЧ-поле, а также рассчитаны и построены зависимости количества поглощенной водой теплоты от времени обработки. Предложены зависимости для расчета конечной температуры воды и градиента температур в условиях эксперимента. Установлено, что время релаксации микроволн в воде практически равно 0 с. Для обеспечения более щадящего действия на продукт в СВЧ-поле не рекомендуется для разогрева продуктов увеличивать время обработки свыше 1 мин.для более безопасного употребления разогретых продуктов в пищу.  Их целесообразно выдержать после обработки в течении 1 мин.
	СВЧ-поле, микроволны, релаксация, вода, температура, количество теплоты."
78,1790,_______________________
79,1792,Биоэкологические особенности вредителей овощей — болезнетворных грибов рода Fusarium
80,1795,Адсорбционные емкости активированных шунгитов и саксаульного угля по ксилолу
81,1796,16 декабря 2013  Лариса Николаевна Гребцова
82,1797,"Центр физико-химических методов исследования и анализа
	Казахскогонационального университета им. аль-Фараби"
83,1798,"Изучена адсорбция ксилола в динамических условиях на шунгите с различным содержанием углерода при различных технологических условиях. Найдены  значения максимальной адсорбционной емкости по ксилолу для активированных шунгитов и саксаульного угля. Наилучшим сорбентом ксилола среди активированных шунгитов является шунгит с содержанием в своем составе 70% углерода.
	 адсорбция, шунгит, углерод, о-ксилол, адсорбционная емкость, сорбент, экология."
84,1799,"Досумов К., Чурина Д. Х.,  Кенесов Б.Н., Байматова Н.Х., Майлина"
85,1800,"Түрлі технологиялық жағдайларда әр түрлі құрамды көміртегілі шунгиттегі динамикалық жағдайда ксилолдың адсорбциясы зерттелді. Белсендірілген шунгиттер мен сексеуіл көмірі үшін ксилол бойынша максималды адсорбциялық сиымдылығының маңызы табылды. Белсендірілген шунгиттердің арасында ең жақсы ксилол сорбенті, құрамында 70% көміртегісі бар шунгит болып табылады."
86,1801,The adsorption of xylene under dynamic conditions on shungit with different carbon content under different processing conditions is studied. The values
87,1802,of the maximum adsorption capacity of xylene were defined for the activated shungites and
88,1803,coal. The best sorbent of xylene among the activated shungites is shungit containing 70% carbon.
89,1804,adsorption
90,1805,"carbon, o-xylene"
91,1806,adsorption capacity
92,1807,"рганические продукты неполного сгорания, содержащиеся в выбросных газах промышленных предприятий, представляют угрозу для экологии и здоровья [1], поэтому в последние годы все большее внимание уделяется исследованиям по очистке и обезвреживанию следов органических растворителей в отходящем газе. К доступным технологиям обезвреживания относятся термическое сжигание,каталитическое глубокое окисление, адсорбция и абсорбция. Наиболее эффективными из них являются адсорбция и каталитическое сжигание, поскольку они имеют преимущества полного обезвреживания органики. Разработка высокоэффективных адсорбентов и катализаторов очень важна для химических технологий, обеспечивающих получение полезных продуктов и помогающих поддерживать здоровую экологию [2]."
93,1808,"Все токсичные выбросы ощутимы не только в региональном, но и в глобальном масштабах, вследствие их безграничной воздушной миграции. В Казахстане очистка промышленных газовых выбросов остается нерешенной задачей."
94,1809,"Адсорбционные и каталитические методы газоочистки нераздельно связаны, т.к. традиционные адсорбенты, такие как активированный уголь, цеолиты, служат активными катализаторами для многих химических реакций. Адсорбционно-каталитическая очистка газов на адсорбентах–катализаторах перспективна вследствие высокой эффективности очистки от примесей и возможности очищать большие объемы газов, содержащие малые доли примесей. Адсорбционно-каталитические методы применяют для очистки промышленных выбросов от паров растворителей, диоксида серы, серо-, хлорорганических соединений и др."
95,1810,"Анализ литературных данных [3-5] показал, что выбор адсорбентов-катализаторов весьма ограничен и необходимо проведение исследований по усовершенствованию и повышению их термо-, влагоустойчивости, механической прочности. Актуальным является также изучение влияния природы органических соединений на сорбционные характеристики и механизм последующего окисления адсорбентов."
96,1811,"В настоящей работе исследовано влияние температуры, объемной скорости и концентрации о-ксилола в реакционной смеси на адсорбционную емкость композиционных материалов на основе активированного шунгита с различным содержанием углерода и саксаульного угля в динамических условиях"
97,1812,"из компрессора (Parker Balston), генератора чистого воздуха (Parker Balston), регулятора давления (Swagelok, США), шприцевого насоса KDS 100 (KD Scientific, США) с тройником (Swagelok, США), колбы для усреднения концентрации аналита"
98,1815,О силовом взаимодействии потока жидкости с содержимым каверн при работе устройства по очистке ствола скважины
99,1816,29 июня 2016  Лариса Николаевна Гребцова
100,1819,"Приведены краткие сведения о явлении кавернообразования в стволе скважины. Рассмотрены условия устойчивости шламовых скоплений в осложненных интервалах. Описаны силовые характеристики потока жидкости при его воздействии на отдельную породную частицу. Исследован механизм воздействия активных потоков промывочной жидкости на кавернозные скопления шлама. Составлены уравнения движения частиц шлама. Показана прямая зависимость эффективности буровых работ от качества проведения операций по креплению скважин. Обоснованы технологические параметры устройства для обработки кавернозной зоны скважины, исходя из установленных зависимостей формирования и удаления глинисто-шламовых скоплений и их влияния на результаты тампонирования скважин. Доказана эксплуатационная надежность устройства для обработки ствола скважины. Полученные результаты теоретических и лабораторных исследований могут быть положенные в основу создания эффективной технологии крепления и тампонирования ствола скважины с высокими технико-экономическими показателями.
	: Скважина, каверна, кавернозные интервалы, очистка каверн, глинисто-шламовые скопления, ствол скважины, угол откоса, промывочная жидкость."
101,1821,Горное дело
102,1825,Түйіндеме.
103,1826,18 декабря 2012  Лариса Николаевна Гребцова
104,1830,"The article is dedicated to the development and dissemination of G.V. Kamenkov method to essentially nonlinear system of differential equations. The article presents new results that have theoretical and practical importance.
	: nonlinear autonomous systems, amplitude and frequency, vertical vibrations, lengthwise vibrations, conditions of vibrations, stability of vibrations."
105,1843,Автоматика. Вычислительная техника
106,1846,Оценка возможности использования методов  обработки гибким инструментом для повышения  адгезии газотермических  покрытий
107,1847,29 июня 2016  Лариса Николаевна Гребцова
108,1848,"С целью выбора новых эффективных методов подготовки поверхностей деталей перед напылением исследовано два метода обработки гибким инструментом. Приведены результаты исследования возможности использования методов обработки гибким инструментом, включающие иглофрезерование и деформационное плакирование, для обеспечения необходимой прочности сцепления газотермических покрытий различного функционального назначения.  Определены оптимальные режимы процесса иглофрезерования, обеспечивающие максимальную шероховатость. Показано, что процесс иглофрезерования можно рекомендовать только для подготовки поверхности перед нанесением коррозионностойких полимерных покрытий. Апробировано применение процесса деформационного плакирования в газотермических технологиях для подготовки поверхности и нанесения промежуточного слоя для металлических покрытий. При этом обеспечивается прочность сцепления с подложкой, сравнимая с традиционным методом нанесения подслоев из нихрома."
109,1849,___________________________
110,1851,Целесообразность использования цементно-шлакового вяжущего в производстве пенобетона
111,1852,"In order to choose a new effective way to prepare the surface of detail for sputtering, two ways of processing with bendable tool were studied. It is presented the results of studies of using methods of processing with bendable tool, including needle mill operation and deformational sheathing, to provide necessary durability of coupling of gasometric surfaces of different functional appropriation. The optimum models of needle mill operation were determined, which provides the maximum surface roughness. It is shown that the process of needle mill processing can be recommended only to prepare the surface before the application of corrosion-resisting polymer cover. The use of process of deformational sheathing in gasometric technologies for surface preparation and application of intermediate layer for metal cover was tested. This ensures the durability of coupling with substrate, comparable with traditional method of application of sublayers from nichrome.
	: metal brushes, needle mill processing, roughness, gasometric spraying, covers, durability of coupling with the basis."
112,1854,Возможности использования техногенных отходов горных предприятий для получения строительных материалов
113,1855,27 сентября 2017  Лариса Николаевна Гребцова
114,1858,"Жалгасулы Н., Естемесов З.А.,  Сартбаев М.К., Когут А.В."
115,1860,Горное дело
116,1864,КЕН ӨНДІРІСТЕРІ ҚАЛДЫҚТАРЫНАН ҚҰРЫЛЫС МАТЕРИАЛДАРЫН ШЫҒАРУДЫҢ МҮМКІНШІЛІГІ
117,1865,Инновационные технологии неразрушающего контроля надежности машин и оборудования
118,1866,4 апреля 2017  Лариса Николаевна Гребцова
119,1867,"Г.И. Бондарева, Б.Н. Орлов"
120,1868,"Грузовой парк автомобилей относят к опасным производственным объектам. Экспертиза промышленной безопасности этих объектов, связанная с продлением нормативного срока службы, требует применения различных видов неразрушающего контроля. Анализ аварийности и травматизма на предприятиях агрокомплекса показывает, что значительная часть отказов связана с прогрессирующими повреждениями коррозионного и эксплуатационного износа, нарушениями технологии ремонта. При проведении исследований использован преобразователь интерфейса USB↔CANZET 7174, предназначенный для подключения измерительных сетей на базе интеллектуальных датчиков с интерфейсом CAN к ПК.Сервер данных ZETLab автоматически определяет наличие устройств на линии CAN, считывает название измерительного канала, единицу измерения, верхний и нижний диапазон допустимых значений параметров и в непрерывном режиме считывает данные измерительного канала и формирует непрерывный синхронизированный канал в среде .
	агрокомплекс, интерфейс, деформация, тензодатчик, диапазон."
121,1869,"Lorries carry dangerous industrial objects. Examination of industrial safety of those facilities related to extending the statutory period of service, requires the use of various types of NDT. The analysis of accident rate and traumatism on the enterprises of agro-industrial complex shows that a significant part of the failure is associated with progressive damage of corrosion and of wear and tear, infringement of technology of repair. When you research the used interface Converter USB↔CANZET 7174, designed to connect measurement networks based on intelligent sensors with CAN interface to a PC. Server data ZETLab automatically detects the presence of devices on the CAN line, reads the name of the measuring channel, measurement unit, upper and lower range of acceptable values of the parameters and in the continuous mode reads the data of the measuring channel and forms a continuous synchronized channel in the ZETLab environment.
	 аgrokompleks, interface, strain, load cell, range."
122,1870,Исследование проблем внедрения электронного документооборота
123,1871,"Нормативті кызмет ету мерзімін ұзартуға байлынысты осы нысандардың өнеркәсіптік қауіпсіздігінің сараптамасы, қиратпайтын бақылаудың бірнеше түрлерін пайдалануды талап етеді. Зерттеу жүргізу кезінде қолданылатын түрлендіргіш интерфейсін USB↔CANZET 7174 арналған қосу өлшеу желілерінің базасында зияткерлік датчиктер интерфейсті CAN ДК. Сервер деректер ZETLab автоматты түрде болуын анықтайды құрылғыларды желідегі CAN, оқиды атауы өлшеу арна, өлшем бірлігі, жоғарғы және төменгі диапазоны, рұқсат етілген параметрлерінің мәндерін және үздіксіз режимде оқиды деректер өлшеу каналын қалыптастырады және үздіксіз үндестірілген арна ортаға ZETLab.
	 агрокешен, интерфейс, деформация, тензодатчик, диапазоны."
124,1872,INNOVATIVE TECHNOLOGIES OF NON-DESTRUCTIVE INSPECTION OF MACHINERY AND EQUIPMENT
125,1873,Горные науки в развитии промышленного производства
126,1874,27 сентября 2017  Лариса Николаевна Гребцова
127,1877,"Майдуков Г.Л., Петенко И.В."
128,1879,Горное дело
129,1883,ТАУ КЕН ІСІ ҒЫЛЫМДАРЫ ӨНЕРКӘСІПТІК ӨНДІРІСТІҢ ДАМУЫНДА
130,1884,ГРЯДУЩАЯ ГЛОБАЛЬНАЯ ВОДНО-ЭКОЛОГИЧЕСКАЯ КАТАСТРОФА И МЕРЫ ЕЕ ПРОФИЛАКТИКИ
131,1885,25 декабря 2014  Лариса Николаевна Гребцова
132,1904,18 декабря 2012  Лариса Николаевна Гребцова
133,1908,"We present a project of program software support and described dialogue schemes of automation management system by the process of infrasound gas-duster of smoke gases.
	 program realization of automation management system of infrasound gas-duster, automatic model, mnemonic scheme."
134,1921,Автоматика. Вычислительная техника
135,1924,Товарный  уголь  и  продукты  его сжигания  – перспективы развития новых производств
136,1925,20 марта 2018  Лариса Николаевна Гребцова
137,1930,Горное дело
138,1934,ТАУАРЛЫҚ КӨМІР ЖӘНЕ ОНЫҢ ЖАНҒАНЫНАН ШЫҚҚАН ҚАЛДЫҚТАРЫ – ЖАҢА ӨНДІРІСТЕРДІ ДАМЫТУ ШИКІЗАТТАРЫ
139,1935,Морфологический анализ конструкций каталитического нейтрализатора автомобиля
140,1936,12 декабря 2018  Лариса Николаевна Гребцова
141,1938,"В статье приводится морфологический анализ конструкций систем каталитической нейтрализации токсичных компонентов отработанных газов. Представлена полная морфологическая карта каталитического нейтрализатора. Был составлен свод условий, исключающий множество гипотетически рабочих катализаторов, неприемлемые варианты. Для однозначной характеристики конструкции каталитического нейтрализатора были выявлены необходимые и достаточные признаки каталитического нейтрализатора. На основе проведенного морфологического анализа каталитического нейтрализатора определено возможное количество вариантов конструкций, предложены комбинированные устройства очистки выхлопных газов автомобилей для нейтрализации их выбросов в атмосферу, повышающие эффективность работы каталитического нейтрализатора. В результате формализации конструкции каталитического нейтрализатора по морфологической карте были определены 324 возможные конструкции каталитического нейтрализатора.
 каталитический нейтрализатор, выхлопные газы, морфологический анализ, конструкция."
